30|1;20.0;30.0;BUSY;47.0;0.0;{pos_5};10.0;0;0|2;26.0;50.0;BUSY;45.2;0.0;{pos_6,pos_11,pos_15};16.0;0;0|3;10;70;IDLE;50.0;0;{};0;0;0|
31|1;20.0;30.0;BUSY;47.0;0.0;{pos_5};10.0;0;0|2;26.0;50.0;BUSY;45.2;0.0;{pos_6,pos_11,pos_15};16.0;0;0|3;10;70;IDLE;50.0;0;{};0;0;0|
32|1;22.0;30.0;BUSY;46.4;0.0;{pos_5};12.0;0;0|2;28.0;50.0;BUSY;44.6;0.0;{pos_6,pos_11,pos_15};18.0;0;0|3;10;70;IDLE;50.0;0;{};0;0;0|
33|1;22.0;30.0;BUSY;46.4;0.0;{pos_5};12.0;0;0|2;28.0;50.0;BUSY;44.6;0.0;{pos_6,pos_11,pos_15};18.0;0;0|3;10;70;IDLE;50.0;0;{};0;0;0|
34|1;24.0;30.0;BUSY;45.8;0.0;{pos_5};14.0;0;0|2;30.0;50.0;BUSY;44.0;0.0;{pos_6,pos_11,pos_15};20.0;0;0|3;10;70;BUSY;50.0;0.0;{pos_7,pos_6};0.0;0;0|
35|1;24.0;30.0;BUSY;45.8;0.0;{pos_5};14.0;0;0|2;30;50;BUSY;44.0;0.0;{pos_11,pos_15};20.0;0;0|3;12.0;70.0;BUSY;49.4;0.0;{pos_7,pos_6};2.0;0;0|
36|1;26.0;30.0;BUSY;45.2;0.0;{pos_5};16.0;0;0|2;30;50;BUSY;44.0;0.0;{pos_11,pos_15};20.0;0;0|3;12.0;70.0;BUSY;49.4;0.0;{pos_7,pos_6};2.0;0;0|
37|1;26.0;30.0;BUSY;45.2;0.0;{pos_5};16.0;0;0|2;33.0;50.0;BUSY;43.1;0.0;{pos_11,pos_15};23.0;0;0|3;14.0;70.0;BUSY;48.8;0.0;{pos_7,pos_6};4.0;0;0|
38|1;28.0;30.0;BUSY;44.6;0.0;{pos_5};18.0;0;0|2;33.0;50.0;BUSY;43.1;0.0;{pos_11,pos_15};23.0;0;0|3;14.0;70.0;BUSY;48.8;0.0;{pos_7,pos_6};4.0;0;0|
39|1;28.0;30.0;BUSY;44.6;0.0;{pos_5};18.0;0;0|2;33.0;50.0;BUSY;43.1;0.0;{pos_11,pos_15};23.0;0;0|3;16.0;70.0;BUSY;48.2;0.0;{pos_7,pos_6};6.0;0;0|
